Country; PIB 
AU;1379548
ES;1313951
US;19390600
CA;1652412
IE;333994
NZ;201485
ZA;349299
FR;2583560
DE;3684816
CY;2131
AE;377435
PK;303993
SG;323902
IL;350609
NL;825745
TH;455378
PT;218064
HK;341659
CN;12014610
TR;84948
IN;2611012
KE;79511
BE;494733
BB;4821
SA;683827
IT;1937894
JM;1429
JP;4872135
SE;538575
GR;20069
NG;376284
NO;396457
EG;237073
PH;313419
MY;314497
TT;203
BR;2054969
BH;34895
ID;1015411
DK;324484
BD;261374
MT;12011
MX;1149236
AR;637717
QA;166326
OM;74274
VE;210085
JO;40487
KW;120351
BN;11963
MO;49802
RU;1527469
GH;47032
PL;524886
TZ;51725
CL;277042
