Country;Cost / Kg;Country;Code
Australia (Sydney);5,61;Australia;AU
Spain (Barcelona);1,68;Spain;ES
United States (New York);3,81;United States;US
Canada (Montreal);4,52;Canada;CA
Ireland (Dublin);0,87;Ireland;IE
New Zealand (Auckland);5,71;New Zealand;NZ
South Africa (Cape Town);6,57;South Africa;ZA
France (Marseille);1,64;France;FR
Germany (Hamburg);0,83;Germany;DE
Cyprus (Limassol);2,31;Cyprus;CY
United Arab Emirates (Zayed);5,53;United Arab Emirates;AE
Pakistan (Karachi);3,47;Pakistan;PK
Singapore;3,82;Singapore;SG
Israel (Haifa);2,28;Israel;IL
Netherlands (Amsterdam);0,83;Netherlands;NL
Thailand (Bangkok);4,41;Thailand;TH
Portugal (Lisbon);2,4;Portugal;PT
Hong Kong;1,91;Hong Kong;HK
China (Shanghai);2,17;China;CN
Turkey (Istanbul);2,27;Turkey;TR
India (Mumbai);2,88;India;IN
Kenya (Mombasa);6,04;Kenya;KE
Belgium (Antwerp);0,83;Belgium;BE
Barbados (Bridgetown);6,92;Barbados;BB
Saudi Arabia (Jeddah);6,78;Saudi Arabia;SA
Italy (Venice);2,87;Italy;IT
Jamaica (Kingston);6,15;Jamaica;JM
Japan (Tokyo);2,46;Japan;JP
Sweden (Stockholm);1,53;Sweden;SE
Greece (Theseloninki);2,43;Greece;GR
Nigeria (Apapa, Lagos);3,37;Nigeria;NG
Norway (Oslo);0,87;Norway;NO
Egypt (Alexandria);2,3;Egypt;EG
Philippines (Manila);2,63;Philippines;PH
Malaysia (Port Kelang);3,88;Malaysia;MY
Trinidad and Tobago (Port of Spain);7,04;Trinidad and Tobago;TT
Brazil (Rio de Janeiro);5,78;Brazil;BR
Bahrain (Mina Salman);5,68;Bahrain;BH
Indonesia (Jakarta);4,14;Indonesia;ID
Denmark (Copenhagen);0,83;Denmark;DK
Bangladesh (Chittagong);3,75;Bangladesh;BD
Malta (Valletta);2,51;Malta;MT
Mexico (Veracruz);5,82;Mexico;MX
Argentina (Buenos Aires);7,05;Argentina;AR
Qatar (Doha);5,58;Qatar;QA
Oman (Muscat);5,71;Oman;OM
Venezuela (Puerto Cabello);6,94;Venezuela;VE
Jordan (Aqaba);2,61;Jordan;JO
Kuwait (Shuwaikh);5,36;Kuwait;KW
Brunei (Muara);4,97;Brunei;BN
Macau;2,14;Macau;MO
Russia (St Petersburg);1,54;Russia;RU
Ghana (Tema);3,79;Ghana;GH
Poland (Gdansk);0,93;Poland;PL
Tanzania (Dar es Salaam);6,88;Tanzania;TZ
Chile (San Antonio);5,17;Chile;CL
